5 Rupee,,,,,,,,,,,,,,
,24 hour breakdown of Monthly Consumption table,,,,,,,,,,,,,
,,Real Load (kW),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,10,0.606,0.671,0.606,0.752,0.97,0.814,0.606,0.571,0.592,0.606,0.689,0.524
,,11,0.661,0.732,0.661,0.82,1.058,0.888,0.661,0.623,0.646,0.661,0.752,0.571
,,12,0.467,0.517,0.467,0.579,0.747,0.627,0.467,0.44,0.456,0.467,0.531,0.404
,,13,0.503,0.557,0.503,0.624,0.805,0.676,0.503,0.474,0.491,0.503,0.572,0.435
,,14,1.077,1.193,1.077,1.336,1.724,1.447,1.077,1.015,1.052,1.077,1.225,0.931
,,15,1.077,1.193,1.077,1.336,1.724,1.447,1.077,1.015,1.052,1.077,1.225,0.931
,,16,1.077,1.193,1.077,1.336,1.724,1.447,1.077,1.015,1.052,1.077,1.225,0.931
,,17,0.646,0.716,0.646,0.801,1.034,0.868,0.646,0.609,0.631,0.646,0.735,0.558
,,18,0.651,0.72,0.651,0.807,1.041,0.874,0.651,0.613,0.635,0.651,0.74,0.562
,,19,1.436,1.59,1.436,1.781,2.298,1.93,1.436,1.353,1.403,1.436,1.633,1.241
,,20,3.255,3.604,3.255,4.036,5.208,4.372,3.255,3.066,3.178,3.255,3.7,2.812
,,21,3.219,3.564,3.219,3.992,5.151,4.325,3.219,3.033,3.144,3.219,3.659,2.781
,,22,2.964,3.281,2.964,3.675,4.742,3.981,2.964,2.792,2.894,2.964,3.369,2.561
,,23,3.214,3.558,3.214,3.985,5.142,4.317,3.214,3.027,3.138,3.214,3.653,2.777
38 Rand,,,,,,,,,,,,,,
,24 hour breakdown of Monthly Consumption table,,,,,,,,,,,,,
,,Real Load (kW),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,0,1.124,1.285,1.163,1.541,1.824,1.768,1.358,1.392,1.708,1.423,1.678,1.846
,,1,1.124,1.285,1.163,1.541,1.824,1.768,1.358,1.392,1.708,1.423,1.678,1.846
,,2,1.131,1.293,1.17,1.55,1.835,1.778,1.367,1.401,1.718,1.432,1.688,1.857
,,3,1.105,1.263,1.143,1.515,1.793,1.738,1.335,1.369,1.679,1.399,1.65,1.815
,,4,1.088,1.244,1.125,1.491,1.765,1.711,1.315,1.347,1.653,1.378,1.624,1.786
,,5,2.293,2.62,2.371,3.142,3.719,3.604,2.77,2.839,3.482,2.903,3.421,3.764
,,6,0.498,0.569,0.515,0.682,0.808,0.783,0.602,0.617,0.756,0.63,0.743,0.817
,,7,0.498,0.569,0.515,0.682,0.808,0.783,0.602,0.617,0.756,0.63,0.743,0.817
,,8,0.548,0.626,0.567,0.751,0.889,0.861,0.662,0.678,0.832,0.694,0.818,0.899
,,9,0.341,0.39,0.353,0.467,0.553,0.536,0.412,0.422,0.518,0.432,0.509,0.56
,,10,0.265,0.303,0.274,0.363,0.43,0.417,0.32,0.328,0.402,0.335,0.395,0.435
,,11,0.318,0.364,0.329,0.436,0.516,0.5,0.385,0.394,0.483,0.403,0.475,0.522
,,12,0.331,0.378,0.342,0.453,0.536,0.52,0.399,0.409,0.502,0.419,0.493,0.543
,,13,0.281,0.321,0.291,0.385,0.456,0.442,0.339,0.348,0.427,0.356,0.419,0.461
,,14,0.256,0.293,0.265,0.351,0.416,0.403,0.31,0.317,0.389,0.325,0.383,0.421
,,15,0.275,0.315,0.285,0.377,0.447,0.433,0.333,0.341,0.418,0.348,0.411,0.452
,,16,0.292,0.334,0.303,0.401,0.474,0.46,0.353,0.362,0.444,0.37,0.436,0.48
,,17,0.292,0.334,0.303,0.401,0.474,0.46,0.353,0.362,0.444,0.37,0.436,0.48
,,18,0.256,0.293,0.265,0.351,0.416,0.403,0.31,0.317,0.389,0.325,0.383,0.421
,,19,0.287,0.328,0.297,0.394,0.466,0.452,0.347,0.356,0.436,0.364,0.429,0.472
,,20,0.246,0.281,0.254,0.337,0.399,0.387,0.297,0.305,0.374,0.311,0.367,0.404
,,21,0.251,0.287,0.26,0.344,0.407,0.395,0.303,0.311,0.382,0.318,0.375,0.412
,,22,0.826,0.944,0.854,1.132,1.34,1.298,0.998,1.023,1.255,1.046,1.233,1.356
,,23,1.104,1.261,1.142,1.512,1.79,1.735,1.333,1.367,1.676,1.397,1.647,1.812
40 Guilder,,,,,,,,,,,,,,
,24 hour breakdown of Monthly Consumption table,,,,,,,,,,,,,
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,0,0.612,0.911,0.766,1.093,1.431,1.288,1.025,1.033,1.239,0.882,1.096,1.294
,,1,0.612,0.911,0.766,1.093,1.431,1.288,1.025,1.033,1.239,0.882,1.096,1.294
,,2,0.612,0.911,0.766,1.093,1.431,1.288,1.025,1.033,1.239,0.882,1.096,1.294
,,3,0.612,0.911,0.766,1.093,1.431,1.288,1.025,1.033,1.239,0.882,1.096,1.294
,,4,0.612,0.911,0.766,1.093,1.431,1.288,1.025,1.033,1.239,0.882,1.096,1.294
,,5,0.605,0.9,0.757,1.08,1.414,1.273,1.013,1.021,1.224,0.871,1.083,1.278
,,6,0.605,0.9,0.757,1.08,1.414,1.273,1.013,1.021,1.224,0.871,1.083,1.278
,,7,0.665,0.99,0.833,1.188,1.556,1.401,1.115,1.123,1.348,0.959,1.192,1.407
,,8,0.361,0.538,0.452,0.645,0.845,0.761,0.606,0.61,0.732,0.521,0.647,0.764
,,9,0.367,0.547,0.46,0.656,0.859,0.774,0.616,0.62,0.744,0.53,0.658,0.777
,,10,0.462,0.688,0.579,0.826,1.082,0.973,0.775,0.781,0.937,0.666,0.828,0.978
,,11,0.462,0.688,0.579,0.826,1.082,0.973,0.775,0.781,0.937,0.666,0.828,0.978
,,12,0.416,0.619,0.52,0.742,0.973,0.875,0.697,0.702,0.842,0.599,0.745,0.879
,,13,0.667,0.993,0.835,1.191,1.56,1.404,1.118,1.126,1.351,0.962,1.195,1.411
,,14,0.621,0.924,0.777,1.109,1.452,1.307,1.04,1.048,1.257,0.895,1.112,1.313
,,15,0.605,0.9,0.757,1.08,1.414,1.273,1.013,1.021,1.224,0.871,1.083,1.278
,,16,0.605,0.9,0.757,1.08,1.414,1.273,1.013,1.021,1.224,0.871,1.083,1.278
,,17,0.605,0.9,0.757,1.08,1.414,1.273,1.013,1.021,1.224,0.871,1.083,1.278
,,18,0.605,0.9,0.757,1.08,1.414,1.273,1.013,1.021,1.224,0.871,1.083,1.278
,,19,0.386,0.574,0.483,0.689,0.903,0.812,0.647,0.651,0.782,0.556,0.691,0.816
,,20,0.417,0.621,0.522,0.745,0.976,0.878,0.699,0.704,0.845,0.601,0.747,0.882
,,21,0.417,0.621,0.522,0.745,0.976,0.878,0.699,0.704,0.845,0.601,0.747,0.882
,,22,0.389,0.579,0.487,0.695,0.911,0.82,0.652,0.657,0.789,0.561,0.697,0.823
,,23,0.617,0.918,0.772,1.102,1.443,1.299,1.034,1.042,1.249,0.889,1.105,1.305
